SA2_CODE_2021,SA2_NAME_2021,PHN_NAME_2023
306011143,Yorkeys Knob - Machans Beach,Northern Queensland
306021144,Bentley Park,Northern Queensland
306021145,Cairns City,Northern Queensland
306021146,Earlville - Bayview Heights,Northern Queensland
306021147,Edmonton,Northern Queensland
306021148,Gordonvale - Trinity,Northern Queensland
306021149,Kanimbla - Mooroobool,Northern Queensland
306021150,Lamb Range,Northern Queensland
306021151,Manoora,Northern Queensland
306021152,Manunda,Northern Queensland
306021153,Mount Sheridan,Northern Queensland
306021154,Westcourt - Bungalow,Northern Queensland
306021155,White Rock,Northern Queensland
306021156,Whitfield - Edge Hill,Northern Queensland
306021157,Woree,Northern Queensland
306031158,Babinda,Northern Queensland
306031159,Innisfail,Northern Queensland
306031160,Johnstone,Northern Queensland
306031161,Tully,Northern Queensland
306031162,Wooroonooran,Northern Queensland
306031163,Yarrabah,Northern Queensland
306041164,Daintree,Northern Queensland
306041165,Port Douglas,Northern Queensland
306051166,Atherton,Northern Queensland
306051167,Herberton,Northern Queensland
306051168,Kuranda,Northern Queensland
306051169,Malanda - Yungaburra,Northern Queensland
306051170,Mareeba,Northern Queensland
307011171,Balonne,Western Queensland
307011172,Chinchilla,Darling Downs and West Moreton
307011173,Goondiwindi,Darling Downs and West Moreton
307011174,Inglewood - Waggamba,Darling Downs and West Moreton
307011175,Miles - Wandoan,Darling Downs and West Moreton
307011176,Roma,Western Queensland
307011177,Roma Surrounds,Western Queensland
307011178,Tara,Darling Downs and West Moreton
307021179,Crows Nest - Rosalie,Darling Downs and West Moreton
307021180,Jondaryan,Darling Downs and West Moreton
307021181,Millmerran,Darling Downs and West Moreton
307021182,Pittsworth,Darling Downs and West Moreton
307021183,Wambo,Darling Downs and West Moreton
307031184,Clifton - Greenmount,Darling Downs and West Moreton
307031185,Southern Downs - East,Darling Downs and West Moreton
307031186,Southern Downs - West,Darling Downs and West Moreton
307031187,Stanthorpe,Darling Downs and West Moreton
307031188,Stanthorpe Surrounds,Darling Downs and West Moreton
307031189,Warwick,Darling Downs and West Moreton
308011190,Central Highlands - East,"Central Queensland, Wide Bay, Sunshine Coast"
308011191,Central Highlands - West,"Central Queensland, Wide Bay, Sunshine Coast"
308011192,Emerald,"Central Queensland, Wide Bay, Sunshine Coast"
308031205,Berserker,"Central Queensland, Wide Bay, Sunshine Coast"
308031206,Bouldercombe,"Central Queensland, Wide Bay, Sunshine Coast"
308031207,Emu Park,"Central Queensland, Wide Bay, Sunshine Coast"
308031208,Frenchville - Mount Archer,"Central Queensland, Wide Bay, Sunshine Coast"
308031209,Glenlee - Rockyview,"Central Queensland, Wide Bay, Sunshine Coast"
308031210,Gracemere,"Central Queensland, Wide Bay, Sunshine Coast"
308031211,Lakes Creek,"Central Queensland, Wide Bay, Sunshine Coast"
308031212,Mount Morgan,"Central Queensland, Wide Bay, Sunshine Coast"
308031213,Norman Gardens,"Central Queensland, Wide Bay, Sunshine Coast"
308031214,Park Avenue,"Central Queensland, Wide Bay, Sunshine Coast"
308031215,Parkhurst - Kawana,"Central Queensland, Wide Bay, Sunshine Coast"
308031216,Rockhampton - West,"Central Queensland, Wide Bay, Sunshine Coast"
308031217,Rockhampton City,"Central Queensland, Wide Bay, Sunshine Coast"
308031218,Rockhampton Surrounds - East,"Central Queensland, Wide Bay, Sunshine Coast"
308031219,Rockhampton Surrounds - North,"Central Queensland, Wide Bay, Sunshine Coast"
308031220,Rockhampton Surrounds - West,"Central Queensland, Wide Bay, Sunshine Coast"
308031221,Shoalwater Bay,"Central Queensland, Wide Bay, Sunshine Coast"
308031222,The Range - Allenstown,"Central Queensland, Wide Bay, Sunshine Coast"
308031223,Yeppoon,"Central Queensland, Wide Bay, Sunshine Coast"
308041528,Banana,Darling Downs and West Moreton
308041528,Banana,"Central Queensland, Wide Bay, Sunshine Coast"
308041529,Biloela,"Central Queensland, Wide Bay, Sunshine Coast"
308051530,Agnes Water - Miriam Vale,"Central Queensland, Wide Bay, Sunshine Coast"
308051531,Boyne Island - Tannum Sands,"Central Queensland, Wide Bay, Sunshine Coast"
308051532,Callemondah,"Central Queensland, Wide Bay, Sunshine Coast"
